SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,900 Bush St #906,San Francisco,CA,94109,899000,1,1.0,San Francisco,831,37816,1982,4,1082,1125,Active,August-1-2021 02:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-906/home/554343,San Francisco MLS,421574755,N,Y,37.7899069,-122.4123875
MLS Listing,,Condo/Co-op,177 Townsend St #431,San Francisco,CA,94107,685000,1,1.0,San Francisco,469,42969,2007,4,1461,625,Active,,,http://www.redfin.com/CA/San-Francisco/177-Townsend-St-94107/unit-431/home/17304700,San Francisco MLS,421578408,N,Y,37.7791526,-122.3919931
MLS Listing,,Condo/Co-op,950 Lake St,San Francisco,CA,94118,1995000,3,2.0,San Francisco,1817,2689,1908,4,1098,372,Active,,,http://www.redfin.com/CA/San-Francisco/950-Lake-St-94118/home/1154785,San Francisco MLS,421576945,N,Y,37.7866132,-122.4698773
MLS Listing,,Single Family Residential,35 Riverton Dr,San Francisco,CA,94132,1795000,4,3.5,San Francisco,1891,2495,1950,5,949,,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/35-Riverton-Dr-94132/home/842363,San Francisco MLS,421575057,N,Y,37.7333308,-122.4874657
MLS Listing,,Single Family Residential,251 Farallones St,San Francisco,CA,94112,1100000,3,2.0,San Francisco,1665,2500,1926,5,661,,Active,August-1-2021 02:00 PM,August-1-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/251-Farallones-St-94112/home/986914,San Francisco MLS,421578334,N,Y,37.7138425,-122.4609438
MLS Listing,,Single Family Residential,556 Funston Ave,San Francisco,CA,94118,3850000,5,4.5,San Francisco,4708,3600,1913,5,818,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/556-Funston-Ave-94118/home/991525,San Francisco MLS,421574821,N,Y,37.7777993,-122.4713367
MLS Listing,,Condo/Co-op,855 Folsom St #124,SAN FRANCISCO,CA,94107,799888,1,1.5,SAN FRANCISCO,904,,2001,5,885,717,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-124/home/12397836,MLSListings,ML81855289,N,Y,37.7808956,-122.4019503
MLS Listing,,Single Family Residential,1690 York St,San Francisco,CA,94110,970000,2,1.0,San Francisco,1050,1716,1936,5,924,,Active,,,http://www.redfin.com/CA/San-Francisco/1690-York-St-94110/home/1856224,San Francisco MLS,421578319,N,Y,37.7464816,-122.4055569
MLS Listing,,Single Family Residential,1382 44th Ave,San Francisco,CA,94122,1289000,2,1.5,San Francisco,1804,2375,1939,5,715,,Active,July-31-2021 12:00 PM,July-31-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1382-44th-Ave-94122/home/1740518,San Francisco MLS,421576080,N,Y,37.7608802,-122.5035259
MLS Listing,,Single Family Residential,55 Garnett Ter,San Francisco,CA,94124-2571,949000,3,2.0,Bayview,1600,1716,1996,5,593,168,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/55-Garnett-Ter-94124/home/1575807,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960376,N,Y,37.7325991,-122.3819575
MLS Listing,,Condo/Co-op,400 Bristol Ct #302,San Francisco,CA,94130,832000,0,1.0,San Francisco,728,,,5,1143,1289,Active,,,http://www.redfin.com/CA/San-Francisco/1-Yerba-Buena-Rd-94130/unit-302/home/175843760,San Francisco MLS,421578277,N,Y,37.8108709,-122.3668348
MLS Listing,,Single Family Residential,64 Marietta Dr,San Francisco,CA,94127,1675000,3,1.5,San Francisco,1820,2927,1932,5,920,,Active,July-29-2021 05:00 PM,July-29-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/64-Marietta-Dr-94127/home/1003227,San Francisco MLS,421569670,N,Y,37.7417712,-122.4493037
MLS Listing,,Condo/Co-op,1300 22nd St #312,San Francisco,CA,94107,998000,1,1.0,San Francisco,894,32000,2016,5,1116,689,Active,August-1-2021 02:00 PM,August-1-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/1300-22nd-St-94107/unit-312/home/125805985,San Francisco MLS,421578278,N,Y,37.7578379,-122.3944714
